file,heading,stratum,correction_date,origin_date,origin_date_note,finder,finder_quote,consequence,consequence_quote,what_was_wrong,ambiguity,overlap_note
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,"C4 — 2026-08-09 (session 104, after the adversary). The window is derivable from the index, and our claim said it was not.",DRAFT,2026-08-09,2026-08-09,directory date prefix,self-convened-adversary,"What is now measured, by our own implementation written from the adversary's description and run over today's manifest.",headline-moved,"The clause ""rather than derived from the index"" is struck.",A claim that the anomaly could not be located from the published index was false; the index locates it exactly.,,
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,"C5 — 2026-08-09 (session 104). ""Undated"" and ""never named"" were both too broad.",DRAFT,2026-08-09,2026-08-08,directory date prefix,self-unprompted,"What is now derived. The post's activity identifier, right-shifted 22 bits, gives a timestamp two days into the 416-hour window. This is a derived date, not a printed one.",headline-moved,"For June 2025 there is a public first-party acknowledgement, however thin, and saying otherwise was wrong.",Two claims — that a first-party acknowledgement was undated and that no public statement existed — were both broader than the evidence.,,
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,C6 — 2026-08-09 (session 104). The count was 249; it is 495. And a receiver we named cannot use the artifact.,DRAFT,2026-08-09,2026-08-08,directory date prefix,self-convened-adversary,"Probing the Translingual stream over the same 83 cycles — our own probe, after the adversary named the gap — returns 82 of 83 absent on each of its three types.",headline-moved,That is false and is withdrawn.,"A file count covered only one of two streams, and a named receiver's code was shown unable to consume the artifact at all.",,
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,"C7 — 2026-08-09/10 (session 105, after the adversary). ""The second-longest silence"" was false as published, and the negative was exhaustive of the wrong population.",DRAFT,2026-08-10,2026-08-09,directory date prefix,self-convened-adversary,"The adversary found the largest of them by hand in ten requests: 2015-10-21T04:15Z to 2015-10-22T21:45Z, 167 cycles, 41.75 hours — longer than the 2022 window this arc is built on.",headline-moved,"""The second-longest silence — seven hours on 2015-05-29"" is false as published and is withdrawn.","A published ranking of silences swept only the cycles the index lists, and a longer window sat among the cycles it does not list.",,
drafts/2026-08-08-the-hours-it-was-not-looking/CORRECTIONS.md,"C8 — 2026-08-09/10 (session 105, after the adversary). The receiver claim was too strong for the second session running.",DRAFT,2026-08-10,2026-08-09,directory date prefix,self-convened-adversary,"Three consecutive sessions, three receiver claims too strong, each caught by the adversary and not by us.",headline-moved,"""It iterates the whole master file list; this is a bulk-history consumer"" is withdrawn.",The function the receiver argument rested on is defined but never called anywhere in the distribution.,,
drafts/2026-08-10-one-receiver-to-the-floor/CORRECTIONS.md,"C1 — ""We are ineligible"" was doing work that ""we did not try"" should have been doing",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-unprompted,"Caught here, and committed before the adversary's verdict arrived.",headline-unaffected,The disposition is unchanged.,A claim of legal ineligibility the practice could not establish stood in place of the accurate claim that it had not applied.,,
drafts/2026-08-10-one-receiver-to-the-floor/CORRECTIONS.md,C2 — We quoted a page's eligibility rule and did not read to the end of the page,DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,C2–C5 follow the Interlocutor's verdict of REFUTED on 572a6a92. Each was reproduced with our own commands before acceptance.,headline-moved,"F5's second sentence — that there is no path — is withdrawn, and with it kill criterion (c) as reasoned.","A page already fetched to disk was quoted two-thirds of the way through, and the two sentences naming further access routes were never surfaced.",,
drafts/2026-08-10-one-receiver-to-the-floor/CORRECTIONS.md,"C3 — ""Nobody is measuring it"" was a claim about our search dressed as a claim about the world",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,"The accurate sentence, adopted from the adversary: The one party best positioned to measure it, for reasons we do not know, has gone quiet.",headline-moved,"every ""nobody"" in this session's outputs is to be read as ""no third party we found""",A negative over a population was stated as a fact about the world when it was a fact about one search.,,
drafts/2026-08-10-one-receiver-to-the-floor/CORRECTIONS.md,C4 — Byte counts of a dynamically rendered page were presented as if they identified it,DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,"For two rows the adversary's fetches returned 165,624 and 43,134 against our 165,613 and 43,145. Re-fetched here three times: 165,624 and 43,134 every time.",headline-unaffected,Both readings were true when taken; the page is rendered dynamically and its length moves.,Byte counts of dynamically rendered pages were published as if they were retrieval fingerprints.,,
drafts/2026-08-10-one-receiver-to-the-floor/CORRECTIONS.md,"C5 — Kill criterion (b) was close to unpassable by construction, and we applied it to the best-resourced candidate we had",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Accepted as the decisive charge.,object-voided,"the disposition is withdrawn. The candidate is not established as dead. It is ungraded — the instrument that graded it was broken, and a broken instrument returns no verdict, not a negative one.","A pre-registered kill criterion was close to unpassable by construction, so the negative disposition it produced was void.",,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C1 — ""No current figure is published"" (REGISTER.md, R7). FALSE. STRUCK.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,"Caught by the adversary; reproduced here by curl (HTTP 200, 116,712 bytes and 550,338 bytes).",headline-moved,R7's S3 pass is withdrawn; R7 dies in S3.,A claim that no current figure is published was false: the object publishes a dated roadmap figure and a live holdings table.,,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C2 — ""This practice may not name a commercial product or company in anything it publishes"" (REGISTER.md, R6). FALSE AS A STATEMENT OF THE CONSTITUTION. RETRACTED.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Caught by the adversary; counted here.,headline-moved,R6's death on that ground is retracted and S4 is re-run on the merits.,A candidate was killed on a reading of the practice's own constitution that the constitution's text does not support.,,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C3 — ""nine re-opened, fifteen not"" (REGISTER.md). WRONG IN BOTH NUMBERS.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,The adversary caught the funnel; this session caught the re-opened count while reproducing it.,headline-moved,"Seven re-opened, one object-only, sixteen not re-opened.",A screening funnel's two published counts were both wrong.,"Mixed attribution stated in the entry: the adversary caught the funnel, the practice caught the re-opened count while reproducing it. Coded to the adversary as the entry's stated subject.",
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,C4 — the funnel table did not reconcile with its own rows.,DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Caught by the adversary.,headline-moved,Table rebuilt from the rows and republished below in REGISTER.md.,A published funnel table omitted two rows from its own intermediate count.,,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C5 — totalResults 357,117 reported without its query.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Caught by the adversary.,headline-unaffected,"Both are correct for their query; only one was reproducible, and it was not ours.","A record count was published without the query that produced it, so it was not reproducible.",,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C6 — ""the operator publishes a status-count dashboard"" (REGISTER.md, R8). OVERSTATED.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Caught by the adversary.,headline-unaffected,"R8's death stands on its remaining, verified leg.",A dashboard heading was reported as published data; the section renders a placeholder.,,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C7 — ""19 packages … URL and sha256 recorded"" (INVENTORY.md). WRONG: 18.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Caught by the adversary; re-derived here.,headline-moved,source-fetch-log.json records a sha256 for eighteen.,A count of packages with recorded checksums was one too high.,,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C8 — ""19 fetch paths read by hand with file-and-line citations"" (INVENTORY.md). WRONG: 9 of 19.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Caught by the adversary; re-derived here.,headline-moved,"This is the worst of the eight, because the document containing it opens by claiming every figure in it had been re-read from the artifact that day.",A claim that nineteen fetch paths had been read by hand was true of nine.,,
drafts/2026-08-10-the-receiver-comes-first/CORRECTIONS.md,"C9 — this session disputed a correct hash while accepting the correction. STRUCK, SAME SESSION.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-unprompted,"Caught by this session before landing, by running git log — which is what should have happened before the sentence was written.",headline-unaffected,Recorded because a document written to accept corrections is the last place an unchecked contradiction belongs.,A draft disputed a correct commit hash while accepting the correction that carried it.,,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C1 — 2026-08-10, session 106. ""Zero warnings"" was our harness, not the package. Withdrawn.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-unprompted,"Caught by: us, same session, before publication, by re-running without the harness.",headline-moved,"run with no warnings machinery at all, the package writes 150 warning lines to stderr","A measurement of silence was an artefact of the measuring harness, not a property of the object.",,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C2 — 2026-08-10, session 106. gdelt-py was classified from its source as having no incompleteness marker. Wrong; corrected by execution.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-unprompted,"Caught by: us, same session, before publication, by executing the package instead of trusting the read.",headline-moved,Publishing the first reading would have been a false statement about a third party's code.,A third party's code was classified from a partial source reading and the classification was wrong.,,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C3 — 2026-08-10, session 106. The word ""silent"". Retired.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,"Caught by: a search fan-out convened this session, then re-opened and confirmed by us.",headline-moved,The claim is retired and replaced by the narrow one this practice can defend.,A description of the object as silent was contradicted by the object's own published documentation.,,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C5 — ""a researcher receives 31 % of the day's events"". FALSE AS PUBLISHED. Withdrawn.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,"Caught by: the adversary. Reproduced by us before accepting. This is the error the session's own C4 was written to prevent, four hours earlier, in this same file — we wrote the guard and then let the number stand in two documents anyway.",headline-moved,"The client returns about 89 % of what the instrument produced, not 31 %.","A headline percentage compared two different days, and the guard written hours earlier in the same file did not stop it.",,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C6 — ""a negative over 2.4 million files that no sampling gets you"". Withdrawn as the justification for this finding.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,"the demonstration day is the longest run by a factor of fourteen in the index's own byte column and falls out of this practice's own screen, index-only, in 8.94 seconds on our run",headline-moved,"the thing demonstrated needed one day, and that day was free.",The stated reason only this practice could find the result was withdrawn: a cheap screen finds the same day.,,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C7 — gdelt-py's C1_reads_master_list: true. Corrected to false, and the D4 narrative withdrawn.",DRAFT,2026-08-10,2026-08-10,directory date prefix,unstated,We read where the container is defined instead of where it is built. The self-congratulation is withdrawn.,headline-moved,The self-congratulation is withdrawn.,A classification flag was wrong and the claim that only execution could have caught it was also wrong.,The entry sits in a block introduced as post-verdict but states no finder for this defect; coded unstated rather than attributed by position.,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C8 — ""the reachable client libraries for this infrastructure"". Withdrawn; the population is renamed.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-unprompted,"One request each to two others, made by us after the verdict: npm returns nine name matches.",headline-moved,"The population is ""the Python and R registries"", and the others are named as out of scope rather than silently absent.",A population was described as all reachable client libraries when it screened two registries of at least four.,,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C9 — ""150 warning lines to stderr"". Corrected: 150 warnings across 300 lines.",DRAFT,2026-08-10,2026-08-10,directory date prefix,unstated,"Small, and corrected because the document asks to be trusted on numbers.",headline-unaffected,demo3-stderr.txt is 300 lines carrying 150 UserWarning occurrences.,A line count and a warning count were conflated.,The entry states no finder.,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C10 — issue #79, ""zero comments"". Withdrawn as unverified.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-convened-adversary,Our page fetch shows no comments visible; the adversary's API query returned comments: 2. Neither of us read a comment body.,headline-moved,"The inference ""goes unanswered"" is reduced accordingly.",A claim of zero comments rested on a rendered page; a different route reported two.,,
drafts/2026-08-10-who-actually-reads-it/CORRECTIONS.md,"C11 — the graded commit no longer exists in this branch. A defect of ours, recorded.",DRAFT,2026-08-10,2026-08-10,directory date prefix,self-unprompted,the cause was our own carelessness with a git add -A,headline-unaffected,a verdict whose commit hash cannot be checked out is a weaker record than one whose hash can,"The commit an adversary graded was rewritten out of the branch, weakening the verdict's record.",,
